,1. Ident,2. Type,3. Destination,4. Departure,5. Est Arrival,6. Arrval
0,QFA8,A388,Sydney,Thu 09:41PM CDT,Sat 05:55AM AEDT,
1,XOJ794,C750,Austin-Bergstrom Intl,Thu 09:30PM CDT,Thu 10:04PM CDT,
2,ASH5735,CRJ9,Corpus Christi Intl,Thu 09:27PM CDT,Thu 10:22PM CDT,
3,ASH5854,CRJ9,Montgomery Rgnl ,Thu 09:24PM CDT,Thu 10:42PM CDT,
4,AAL1010,MD83,St Louis Lambert Intl,Thu 09:18PM CDT,Thu 10:33PM CDT,
5,ASH5731,CRJ9,Mobile Rgnl,Thu 09:12PM CDT,Thu 10:22PM CDT,
6,ASH5953,CRJ9,Quad City Intl,Thu 09:12PM CDT,Thu 10:34PM CDT,
7,AAL1648,A321,Boston Logan Intl,Thu 09:11PM CDT,Fri 01:19AM EDT,
8,UPS751,MD11,Louisville Intl,Thu 09:10PM CDT,Thu 11:49PM EDT,
9,ASQ2821,CRJ7,Easterwood Field,Thu 09:10PM CDT,Thu 09:38PM CDT,Thu 09:38PM CDT
10,ENY3526,E145,Alexandria Intl,Thu 09:09PM CDT,Thu 09:59PM CDT,
11,AAL2410,A319,Pensacola Intl,Thu 09:08PM CDT,Thu 10:33PM CDT,
12,AAL2501,B738,Nashville Intl,Thu 09:08PM CDT,Thu 10:31PM CDT,
13,AAL1492,A321,Austin-Bergstrom Intl,Thu 09:07PM CDT,Thu 09:40PM CDT,Thu 09:40PM CDT
14,AAL1023,B738,Los Angeles Intl,Thu 09:06PM CDT,Thu 10:10PM PDT,
15,ENY3499,E135,Tyler Pounds Rgnl,Thu 09:06PM CDT,Thu 09:28PM CDT,Thu 09:28PM CDT
16,AAL2211,B738,John Wayne,Thu 09:04PM CDT,Thu 09:43PM PDT,
17,AAL2267,B738,Memphis Intl,Thu 09:04PM CDT,Thu 10:08PM CDT,
18,AAL409,A321,Charlotte/Douglas Intl,Thu 09:03PM CDT,Thu 11:57PM EDT,
19,ASQ2854,CRJ7,Manhattan Rgnl,Thu 09:03PM CDT,Thu 10:06PM CDT,
20,ENY3309,E170,Blue Grass,Thu 09:02PM CDT,Thu 11:49PM EDT,
21,ASH5762,CRJ9,Lafayette Rgnl/Paul Fournet Field,Thu 09:02PM CDT,Thu 09:55PM CDT,
22,AAL1055,A321,McCarran Intl,Thu 09:02PM CDT,Thu 09:29PM PDT,
23,AAL446,A321,Denver Intl,Thu 09:01PM CDT,Thu 09:35PM MDT,
24,AAL2574,MD83,Eglin Afb/Destin-Ft Walton Beach,Thu 09:01PM CDT,Thu 10:24PM CDT,
25,NKS330,A319,Cleveland-Hopkins Intl,Thu 09:00PM CDT,Fri 12:08AM EDT,
26,AAL2666,A321,Tampa Intl,Thu 08:59PM CDT,Thu 11:56PM EDT,
27,AAL1268,A321,San Antonio Intl,Thu 08:59PM CDT,Thu 09:39PM CDT,Thu 09:39PM CDT
28,ENY3338,E145,Stillwater Rgnl,Thu 08:58PM CDT,Thu 09:40PM CDT,
29,AAL2276,B738,Indianapolis Intl,Thu 08:58PM CDT,Thu 11:35PM EDT,
30,AAL262,A321,Miami Intl,Thu 08:57PM CDT,Fri 12:18AM EDT,
31,AAL2299,MD83,Eppley Airfield,Thu 08:56PM CDT,Thu 10:14PM CDT,
32,ENY3640,E145,Texarkana Rgnl-Webb Field,Thu 08:54PM CDT,Thu 09:24PM CDT,Thu 09:24PM CDT
33,AAL1142,A321,Chicago O'Hare Intl,Thu 08:54PM CDT,Thu 10:45PM CDT,
34,ENY3535,E145,Lake Charles Rgnl,Thu 08:52PM CDT,Thu 09:49PM CDT,
35,ENY3827,E170,Joplin Rgnl,Thu 08:52PM CDT,Thu 09:45PM CDT,
36,AAL513,A321,Phoenix Sky Harbor Intl,Thu 08:51PM CDT,Thu 08:53PM MST,
37,AAL2497,B738,Hartsfield-Jackson Intl,Thu 08:51PM CDT,Thu 11:28PM EDT,
38,ENY3266,E170,Jackson-Medgar Wiley Evers Intl,Thu 08:50PM CDT,Thu 09:50PM CDT,
39,AAL1206,B738,Minneapolis/St Paul Intl,Thu 08:50PM CDT,Thu 10:35PM CDT,
40,AAL2651,B738,Baltimore/Washington Intl,Thu 08:49PM CDT,Fri 12:16AM EDT,
41,ASH5946,CRJ9,General Downing - Peoria Intl,Thu 08:48PM CDT,Thu 10:10PM CDT,
42,AAL2418,MD82,Jacksonville Intl,Thu 08:48PM CDT,Thu 11:44PM EDT,
43,AAL1638,A319,Savannah/Hilton Head Intl,Thu 08:47PM CDT,Thu 11:34PM EDT,
44,SKW2988,CRJ7,Mc Ghee Tyson,Thu 08:47PM CDT,Thu 11:19PM EDT,
45,AAL2315,MD82,N Kentucky Intl,Thu 08:46PM CDT,Thu 11:29PM EDT,
46,AAL2258,B738,Houston Bush Int'ctl,Thu 08:45PM CDT,Thu 09:26PM CDT,Thu 09:26PM CDT
47,ENY3966,E170,Dane Co Rgnl,Thu 08:45PM CDT,Thu 10:30PM CDT,
48,AAL945,B788,Comodoro Arturo Merino Benitez Int'l,Thu 08:43PM CDT,Fri 07:40AM -03,
49,ASH5741,CRJ9,El Paso Intl,Thu 08:43PM CDT,Thu 08:56PM MDT,
50,AAL2635,MD83,James M Cox Dayton Intl,Thu 08:42PM CDT,Thu 11:30PM EDT,
51,ASH5794,CRJ9,Gulfport-Biloxi Intl,Thu 08:41PM CDT,Thu 09:51PM CDT,
52,ENY3693,E170,Gerald R Ford Intl,Thu 08:41PM CDT,Thu 11:37PM EDT,
53,AAL1582,B738,Cleveland-Hopkins Intl,Thu 08:40PM CDT,Thu 11:48PM EDT,
54,AAL1371,MD82,Des Moines Intl,Thu 08:39PM CDT,Thu 09:56PM CDT,
55,AAL1672,A319,New Orleans Intl,Thu 08:38PM CDT,Thu 09:43PM CDT,Thu 09:43PM CDT
56,ASQ2875,CRJ7,Fort Smith Rgnl,Thu 08:38PM CDT,Thu 09:15PM CDT,Thu 09:15PM CDT
57,AAL2484,B738,Newark Liberty Intl,Thu 08:38PM CDT,Fri 12:34AM EDT,
58,AAL2322,B738,Palm Beach Intl,Thu 08:37PM CDT,Thu 11:56PM EDT,
59,AAL1234,MD83,General Mitchell Intl,Thu 08:36PM CDT,Thu 10:26PM CDT,
60,AAL1653,A321,Philadelphia Intl,Thu 08:36PM CDT,Fri 12:18AM EDT,
61,ENY3653,E145,Garden City Rgnl,Thu 08:35PM CDT,Thu 09:40PM CDT,Thu 09:40PM CDT
62,ASH5797,CRJ7,Shreveport Rgnl,Thu 08:35PM CDT,Thu 09:08PM CDT,Thu 09:08PM CDT
63,AAL2718,B738,Kansas City Intl,Thu 08:34PM CDT,Thu 09:46PM CDT,Thu 09:44PM CDT
64,AAL2583,B738,Detroit Metro Wayne Co,Thu 08:34PM CDT,Thu 11:39PM EDT,
65,AAL2366,B738,Southwest Florida Intl,Thu 08:33PM CDT,Thu 11:36PM EDT,
66,ENY3531,E170,Piedmont Triad Intl,Thu 08:32PM CDT,Thu 11:36PM EDT,
67,ENY3613,E75L,Northwest Arkansas Rgnl,Thu 08:32PM CDT,Thu 09:25PM CDT,Thu 09:25PM CDT
68,ASH5828,CRJ9,Huntsville Intl,Thu 08:31PM CDT,Thu 09:47PM CDT,
69,AAL1606,B738,Raleigh-Durham Intl,Thu 08:30PM CDT,Thu 11:38PM EDT,
70,BTQ904,PC12,Tupelo Rgnl,Thu 08:28PM CDT,Thu 10:18PM CDT,
71,ASH5754,CRJ9,Birmingham-Shuttlesworth Intl,Thu 08:27PM CDT,Thu 09:49PM CDT,
72,ENY3317,E75L,Clinton National,Thu 08:27PM CDT,Thu 09:11PM CDT,Thu 09:11PM CDT
73,ENY3674,E75L,Springfield,Thu 08:27PM CDT,Thu 09:22PM CDT,Thu 09:22PM CDT
74,AAL1464,B738,Tulsa Intl,Thu 08:26PM CDT,Thu 09:07PM CDT,Thu 09:07PM CDT
75,AAL1408,B738,Will Rogers World,Thu 08:25PM CDT,Thu 09:02PM CDT,Thu 09:02PM CDT
76,ASH5848,CRJ9,Louisville Intl,Thu 08:25PM CDT,Thu 10:59PM EDT,
77,ENY3527,E170,The Eastern Iowa,Thu 08:23PM CDT,Thu 09:50PM CDT,
78,AAL2524,B738,Richmond Intl,Thu 08:23PM CDT,Thu 11:47PM EDT,
79,ASH5985,CRJ9,Clinton National,Thu 08:21PM CDT,Thu 09:05PM CDT,Thu 09:05PM CDT
